title	author	journal	number	cites	cid	pubid	year	month	rank	n_authors	comments
Unravelling the complex inflammatory landscape of COVID-19 infection: a pathway to biomarkers identification in infection-associated delirium in the ICU	T Born, M Perreau, <u>PP Axisa</u>, C Fenwick, A Pinto, N Ben-Hamouda, AO Rossetti, RD Pasquier, J-D Chiche, R Bernard-Valnet	_Intensive Care Medicine Experimental_	13 (1), 1-13	0	NA	MXK_kJrjxJIC	2025	12		10	NA
Transcriptomic profiling after B cell depletion reveals central and peripheral immune cell changes in multiple sclerosis	J Wei, J Moon, Y Yasumizu, L Zhang, K Radassi, N Buitrago-Pocasangre, ME Deerhake, N Strauli, C-W Chen, A Herman, R Pedotti, C Raposo, I Yim, J Pappalardo, EE Longbrake, TS Sumida, <u>PP Axisa</u>\*, DA Hafler\*	_The Journal of Clinical Investigation_	135 (11)	17	13826427467618953563,17652486559169838988	8k81kl-MbHgC	2025	6		18	* equal contribution
Circulating tumor-reactive KIR+CD8+ T cells suppress anti-tumor immunity in patients with melanoma	BY Lu, LE Lucca, W Lewis, J Wang, CV Nogueira, S Heer, V Rayon-Estrada, <u>PP Axisa</u>, SM Reeves, NC Buitrago-Pocasangre, GH Pham, ML Kojima, Wei, L Aizenbud, A Bacchiocchi, L Zhang, JJ Walewski, V Chiang, K Olino, J Clune, R Halaban, Y Kluger, AJ Coyle, J Kisielow, F-J Obermair, HM Kluger, DA Hafler	_Nature Immunology_	26 (1), 82-91	14	3708836336476039938,3246182427143999794	5nxA0vEk-isC	2025	1		27	NA
NK cells with adhesion defects and reduced cytotoxic functions are associated with a poor prognosis in multiple myeloma	E Blanquart, Rüçh Ekren, B Rigaud, M-Vér Joubert, V Baylot, Hélèn Daunes, M Cuisinier, M Villard, Nèg Carrié, Cél Mazzotti, LE Lucca, A Perrot, J Corre, T Walzer, Hé Avet-Loiseau, <u>PP Axisa</u>\*, L Martinet\*	_Blood_	144 (12), 1271-1283	28	12793459834596630728,1244732995787150691	0EnyYjriUFMC	2024	9		17	* equal contribution
The tidyomics ecosystem: Enhancing omic data analyses	WJ Hutchison, TJ Keyes, T Consortium, HL Crowell, J Serizay, C Soneson, ES Davis, N Sato, L Moses, B Tarlinton, AA Nahid, M Kosmac, Q Clayssen, V Yuan, W Mu, J-E Park, I Mamede, MH Ryu, <u>PP Axisa</u>, P Paiz, C-L Poon, M Tang, R Gottardo, M Morgan, S Lee, M Lawrence, SC Hicks, GP Nolan, KL Davis, AT Papenfuss, MI Love, S Mangiola	_Nature methods_	21 (7), 1166-1170	31	983571435694854412	LkGwnXOMwfcC	2024	7		32	NA
Genetic mapping across autoimmune diseases reveals shared associations and mechanisms	MR Lincoln, N Connally, <u>PP Axisa</u>, C Gasperi, M Mitrovic, Dv Heel, C Wijmenga, S Withoff, IH Jonkers, L Padyukov, SS Rich, RR Graham, PM Gaffney, CD Langefeld, TJ Vyse, DA Hafler, S Chun, SR Sunyaev, C Cotsapas	_Nature genetics_	56 (5), 838-845	54	1313456873686111138,12718588694732315814	hqOjcs7Dif8C	2024	5		19	NA
TCR-independent CD137 (4-1BB) signaling promotes CD8+-exhausted T cell proliferation and terminal differentiation	AC Pichler, Nèg Carrié, M Cuisinier, S Ghazali, A Voisin, <u>PP Axisa</u>, M Tosolini, Cél Mazzotti, DP Golec, S Maheo, LD Souto, Rüçh Ekren, E Blanquart, L Lemaitre, V Feliu, M-Vér Joubert, JL Cannons, C Guillerey, Hé Avet-Loiseau, TH Watts, BL Salomon, O Joffre, Y Grinberg-Bleyer, PL Schwartzberg, LE Lucca, L Martinet	_Immunity_	56 (7), 1631-1648. e10	121	3415578748261307648	_FxGoFyzp5QC	2023	7		26	NA
A multiple sclerosis–protective coding variant reveals an essential role for HDAC7 in regulatory T cells	<u>PP Axisa</u>, TM Yoshida, LE Lucca, HG Kasler, MR Lincoln, GH Pham, DD Priore, J-M Carpier, CL Lucas, E Verdin, TS Sumida, DA Hafler	_Science Translational Medicine_	14 (675), eabl3651	21	229921179721837234	ufrVoPGSRksC	2022	12		12	NA
Impaired TIGIT expression on B cells drives circulating follicular helper T cell expansion in multiple sclerosis	H Asashima, <u>PP Axisa</u>, THG Pham, EE Longbrake, WE Ruff, N Lele, I Cohen, K Raddassi, TS Sumida, DA Hafler	_The Journal of Clinical Investigation_	132 (20)	42	6827724073474458295	WF5omc3nYNoC	2022	10		10	NA
Type I interferon transcriptional network regulates expression of coinhibitory receptors in human T cells	TS Sumida, S Dulberg, JC Schupp, MR Lincoln, HA Stillwell, <u>PP Axisa</u>, M Comi, A Unterman, N Kaminski, A Madi, VK Kuchroo, DA Hafler	_Nature Immunology_	23 (4), 632-642	182	13250862164743751331,11034915412224740115	Tyk-4Ss8FVUC	2022	4		12	NA
Circulating clonally expanded T cells reflect functions of tumor-infiltrating T cells	LE Lucca, <u>PP Axisa</u>, B Lu, B Harnett, S Jessel, L Zhang, K Raddassi, L Zhang, K Olino, J Clune, M Singer, HM Kluger, DA Hafler	_Journal of Experimental Medicine_	218 (4), e20200921	92	14453904964099754792	zYLM7Y9cAGgC	2021	3		13	NA
Epigenetic fine-mapping: identification of causal mechanisms for autoimmunity	MR Lincoln, <u>PP Axisa</u>\*, DA Hafler	_Current Opinion in Immunology_	67, 50-56	3	2161890315136731525	IjCSPb-OGe4C	2020	12		3	* corresponding author
TIGIT signaling restores suppressor function of Th1 Tregs	LE Lucca, <u>PP Axisa</u>, ER Singer, NM Nolan, M Dominguez-Villar, DA Hafler	_JCI insight_	4 (3), e124427	154	15835476066164530030	2osOgNQ5qMEC	2019	2		6	NA
Podoplanin is a negative regulator of Th17 inflammation	AN Nylander, GD Ponath, <u>PP Axisa</u>, M Mubarak, M Tomayko, VK Kuchroo, D Pitt, DA Hafler	_JCI insight_	2 (17), e92321	35	15934406419424776108	qjMakFHDy7sC	2017	9		8	NA
Myelin oligodendrocyte glycoprotein induces incomplete tolerance of CD4+ T cells specific for both a myelin and a neuronal self‐antigen in mice	LE Lucca\*, <u>PP Axisa</u>\*, M Aloulou, C Perals, A Ramadan, P Rufas, B Kyewski, J Derbinski, N Fazilleau, LT Mars, RS Liblau	_European journal of immunology_	46 (9), 2247-2259	21	9651984491328856241,2904463027981622559	u-x6o8ySG0sC	2016	9		11	* equal contribution
Multiple sclerosis: genetics, biomarkers, treatments	<u>PP Axisa</u>, DA Hafler	_Current opinion in neurology_	29 (3), 345-353	180	10460708996257686247	d1gkVwhDpl0C	2016	6		2	NA
In situ              expansion of T cells that recognize distinct self-antigens sustains autoimmunity in the CNS	A Ramadan, LE Lucca, N Carrie, S Desbois, <u>PP Axisa</u>, M Hayder, J Bauer, RS Liblau, LT Mars	_Brain_	139 (5), 1433-1446	24	17345241735861803569	UeHWp8X0CEIC	2016	5		9	NA
